date;ticker;amount_eu
01/11/2022;SPY;120
01/11/2022;BNDX;60
01/11/2022;VGK;60
01/11/2022;IEF;45
01/11/2022;SHV;15
01/12/2022;SPY;120
01/12/2022;VGK;60
01/12/2022;BNDX;60
01/12/2022;IEF;45
01/12/2022;SHV;15
03/01/2023;BNDX;60
03/01/2023;IEF;45
03/01/2023;SHV;15
03/01/2023;SPY;120
03/01/2023;VGK;60
01/02/2023;BNDX;60
01/02/2023;IEF;45
01/02/2023;SHV;15
01/02/2023;SPY;120
01/02/2023;VGK;60
01/03/2023;BNDX;60
01/03/2023;IEF;45
01/03/2023;SHV;15
01/03/2023;SPY;120
01/03/2023;VGK;60
03/04/2023;BNDX;60
03/04/2023;IEF;45
03/04/2023;SHV;15
03/04/2023;SPY;120
03/04/2023;VGK;60
01/05/2023;BNDX;60
01/05/2023;IEF;45
01/05/2023;SHV;15
01/05/2023;SPY;120
01/05/2023;VGK;60
01/06/2023;BNDX;60
01/06/2023;IEF;45
01/06/2023;SHV;15
01/06/2023;SPY;120
01/06/2023;VGK;60
03/07/2023;BNDX;60
03/07/2023;IEF;45
03/07/2023;SHV;15
03/07/2023;SPY;120
03/07/2023;VGK;60
01/08/2023;BNDX;60
01/08/2023;IEF;45
01/08/2023;SHV;15
01/08/2023;SPY;120
01/08/2023;VGK;60
01/09/2023;BNDX;60
01/09/2023;IEF;45
01/09/2023;SHV;15
01/09/2023;SPY;120
01/09/2023;VGK;60
03/10/2023;BNDX;60
03/10/2023;IEF;45
03/10/2023;SHV;15
03/10/2023;SPY;120
03/10/2023;VGK;60
01/11/2023;BNDX;60
01/11/2023;IEF;45
01/11/2023;SHV;15
01/11/2023;SPY;120
01/11/2023;VGK;60
01/12/2023;BNDX;60
01/12/2023;IEF;45
01/12/2023;SHV;15
01/12/2023;SPY;120
01/12/2023;VGK;60
02/01/2024;BNDX;60
02/01/2024;IEF;45
02/01/2024;SHV;15
02/01/2024;SPY;120
02/01/2024;VGK;60
01/02/2024;BNDX;60
01/02/2024;IEF;45
01/02/2024;SHV;15
01/02/2024;SPY;120
01/02/2024;VGK;60
01/03/2024;BNDX;60
01/03/2024;IEF;45
01/03/2024;SHV;15
01/03/2024;SPY;120
01/03/2024;VGK;60
01/04/2024;BNDX;60
01/04/2024;IEF;45
01/04/2024;SHV;15
01/04/2024;SPY;120
01/04/2024;VGK;60
01/05/2024;BNDX;60
01/05/2024;IEF;45
01/05/2024;SHV;15
01/05/2024;SPY;120
01/05/2024;VGK;60
03/06/2024;BNDX;60
03/06/2024;IEF;45
03/06/2024;SHV;15
03/06/2024;SPY;120
03/06/2024;VGK;60
01/07/2024;BNDX;60
01/07/2024;IEF;45
01/07/2024;SHV;15
01/07/2024;SPY;120
01/07/2024;VGK;60
01/08/2024;BNDX;60
01/08/2024;IEF;45
01/08/2024;SHV;15
01/08/2024;SPY;120
01/08/2024;VGK;60
03/09/2024;BNDX;60
03/09/2024;IEF;45
03/09/2024;SHV;15
03/09/2024;SPY;120
03/09/2024;VGK;60
01/10/2024;BNDX;60
01/10/2024;IEF;45
01/10/2024;SHV;15
01/10/2024;SPY;120
01/10/2024;VGK;60
01/11/2024;BNDX;60
01/11/2024;IEF;45
01/11/2024;SHV;15
01/11/2024;SPY;120
01/11/2024;VGK;60
02/12/2024;BNDX;60
02/12/2024;IEF;45
02/12/2024;SHV;15
02/12/2024;SPY;120
02/12/2024;VGK;60
03/01/2025;BNDX;60
03/01/2025;IEF;45
03/01/2025;SHV;15
03/01/2025;SPY;120
03/01/2025;VGK;60
03/02/2025;BNDX;60
03/02/2025;IEF;45
03/02/2025;SHV;15
03/02/2025;SPY;120
03/02/2025;VGK;60
03/03/2025;BNDX;60
03/03/2025;IEF;45
03/03/2025;SHV;15
03/03/2025;SPY;120
03/03/2025;VGK;60
01/04/2025;BNDX;60
01/04/2025;IEF;45
01/04/2025;SHV;15
01/04/2025;SPY;120
01/04/2025;VGK;60
01/05/2025;BNDX;60
01/05/2025;IEF;45
01/05/2025;SHV;15
01/05/2025;SPY;120
01/05/2025;VGK;60
02/06/2025;BNDX;60
02/06/2025;IEF;45
02/06/2025;SHV;15
02/06/2025;SPY;120
02/06/2025;VGK;60
01/07/2025;BNDX;60
01/07/2025;IEF;45
01/07/2025;SHV;15
01/07/2025;SPY;120
01/07/2025;VGK;60
01/08/2025;BNDX;60
01/08/2025;IEF;45
01/08/2025;SHV;15
01/08/2025;SPY;120
01/08/2025;VGK;60
02/09/2025;BNDX;60
02/09/2025;IEF;45
02/09/2025;SHV;15
02/09/2025;SPY;120
02/09/2025;VGK;60
